a_project,a_language,b_project,b_language,a_articles,b_articles,shared_articles,jaccard_pct,source
en.wikipedia,English,ar.wikipedia,Arabic,67,66,0,0.0,Wikimedia Analytics pageviews API (CC0)
en.wikipedia,English,hi.wikipedia,Hindi,67,43,0,0.0,Wikimedia Analytics pageviews API (CC0)
es.wikipedia,Spanish,ja.wikipedia,Japanese,70,105,0,0.0,Wikimedia Analytics pageviews API (CC0)
es.wikipedia,Spanish,ru.wikipedia,Russian,70,69,0,0.0,Wikimedia Analytics pageviews API (CC0)
es.wikipedia,Spanish,zh.wikipedia,Chinese,70,57,0,0.0,Wikimedia Analytics pageviews API (CC0)
es.wikipedia,Spanish,ar.wikipedia,Arabic,70,66,0,0.0,Wikimedia Analytics pageviews API (CC0)
es.wikipedia,Spanish,fa.wikipedia,Persian,70,39,0,0.0,Wikimedia Analytics pageviews API (CC0)
es.wikipedia,Spanish,hi.wikipedia,Hindi,70,43,0,0.0,Wikimedia Analytics pageviews API (CC0)
ja.wikipedia,Japanese,de.wikipedia,German,105,86,0,0.0,Wikimedia Analytics pageviews API (CC0)
ja.wikipedia,Japanese,fr.wikipedia,French,105,87,0,0.0,Wikimedia Analytics pageviews API (CC0)
ja.wikipedia,Japanese,ru.wikipedia,Russian,105,69,0,0.0,Wikimedia Analytics pageviews API (CC0)
ja.wikipedia,Japanese,pt.wikipedia,Portuguese,105,65,0,0.0,Wikimedia Analytics pageviews API (CC0)
ja.wikipedia,Japanese,ar.wikipedia,Arabic,105,66,0,0.0,Wikimedia Analytics pageviews API (CC0)
ja.wikipedia,Japanese,id.wikipedia,Indonesian,105,59,0,0.0,Wikimedia Analytics pageviews API (CC0)
ja.wikipedia,Japanese,it.wikipedia,Italian,105,99,0,0.0,Wikimedia Analytics pageviews API (CC0)
ja.wikipedia,Japanese,pl.wikipedia,Polish,105,96,0,0.0,Wikimedia Analytics pageviews API (CC0)
ja.wikipedia,Japanese,fa.wikipedia,Persian,105,39,0,0.0,Wikimedia Analytics pageviews API (CC0)
ja.wikipedia,Japanese,hi.wikipedia,Hindi,105,43,0,0.0,Wikimedia Analytics pageviews API (CC0)
de.wikipedia,German,ru.wikipedia,Russian,86,69,0,0.0,Wikimedia Analytics pageviews API (CC0)
de.wikipedia,German,zh.wikipedia,Chinese,86,57,0,0.0,Wikimedia Analytics pageviews API (CC0)
de.wikipedia,German,ar.wikipedia,Arabic,86,66,0,0.0,Wikimedia Analytics pageviews API (CC0)
de.wikipedia,German,fa.wikipedia,Persian,86,39,0,0.0,Wikimedia Analytics pageviews API (CC0)
de.wikipedia,German,hi.wikipedia,Hindi,86,43,0,0.0,Wikimedia Analytics pageviews API (CC0)
fr.wikipedia,French,ru.wikipedia,Russian,87,69,0,0.0,Wikimedia Analytics pageviews API (CC0)
fr.wikipedia,French,zh.wikipedia,Chinese,87,57,0,0.0,Wikimedia Analytics pageviews API (CC0)
fr.wikipedia,French,ar.wikipedia,Arabic,87,66,0,0.0,Wikimedia Analytics pageviews API (CC0)
fr.wikipedia,French,fa.wikipedia,Persian,87,39,0,0.0,Wikimedia Analytics pageviews API (CC0)
fr.wikipedia,French,hi.wikipedia,Hindi,87,43,0,0.0,Wikimedia Analytics pageviews API (CC0)
ru.wikipedia,Russian,pt.wikipedia,Portuguese,69,65,0,0.0,Wikimedia Analytics pageviews API (CC0)
ru.wikipedia,Russian,zh.wikipedia,Chinese,69,57,0,0.0,Wikimedia Analytics pageviews API (CC0)
ru.wikipedia,Russian,ar.wikipedia,Arabic,69,66,0,0.0,Wikimedia Analytics pageviews API (CC0)
ru.wikipedia,Russian,id.wikipedia,Indonesian,69,59,0,0.0,Wikimedia Analytics pageviews API (CC0)
ru.wikipedia,Russian,it.wikipedia,Italian,69,99,0,0.0,Wikimedia Analytics pageviews API (CC0)
ru.wikipedia,Russian,pl.wikipedia,Polish,69,96,0,0.0,Wikimedia Analytics pageviews API (CC0)
ru.wikipedia,Russian,fa.wikipedia,Persian,69,39,0,0.0,Wikimedia Analytics pageviews API (CC0)
ru.wikipedia,Russian,hi.wikipedia,Hindi,69,43,0,0.0,Wikimedia Analytics pageviews API (CC0)
pt.wikipedia,Portuguese,zh.wikipedia,Chinese,65,57,0,0.0,Wikimedia Analytics pageviews API (CC0)
pt.wikipedia,Portuguese,ar.wikipedia,Arabic,65,66,0,0.0,Wikimedia Analytics pageviews API (CC0)
pt.wikipedia,Portuguese,fa.wikipedia,Persian,65,39,0,0.0,Wikimedia Analytics pageviews API (CC0)
pt.wikipedia,Portuguese,hi.wikipedia,Hindi,65,43,0,0.0,Wikimedia Analytics pageviews API (CC0)
zh.wikipedia,Chinese,ar.wikipedia,Arabic,57,66,0,0.0,Wikimedia Analytics pageviews API (CC0)
zh.wikipedia,Chinese,id.wikipedia,Indonesian,57,59,0,0.0,Wikimedia Analytics pageviews API (CC0)
zh.wikipedia,Chinese,it.wikipedia,Italian,57,99,0,0.0,Wikimedia Analytics pageviews API (CC0)
zh.wikipedia,Chinese,pl.wikipedia,Polish,57,96,0,0.0,Wikimedia Analytics pageviews API (CC0)
zh.wikipedia,Chinese,fa.wikipedia,Persian,57,39,0,0.0,Wikimedia Analytics pageviews API (CC0)
zh.wikipedia,Chinese,hi.wikipedia,Hindi,57,43,0,0.0,Wikimedia Analytics pageviews API (CC0)
ar.wikipedia,Arabic,id.wikipedia,Indonesian,66,59,0,0.0,Wikimedia Analytics pageviews API (CC0)
ar.wikipedia,Arabic,it.wikipedia,Italian,66,99,0,0.0,Wikimedia Analytics pageviews API (CC0)
ar.wikipedia,Arabic,pl.wikipedia,Polish,66,96,0,0.0,Wikimedia Analytics pageviews API (CC0)
ar.wikipedia,Arabic,fa.wikipedia,Persian,66,39,0,0.0,Wikimedia Analytics pageviews API (CC0)
ar.wikipedia,Arabic,hi.wikipedia,Hindi,66,43,0,0.0,Wikimedia Analytics pageviews API (CC0)
id.wikipedia,Indonesian,fa.wikipedia,Persian,59,39,0,0.0,Wikimedia Analytics pageviews API (CC0)
id.wikipedia,Indonesian,hi.wikipedia,Hindi,59,43,0,0.0,Wikimedia Analytics pageviews API (CC0)
it.wikipedia,Italian,fa.wikipedia,Persian,99,39,0,0.0,Wikimedia Analytics pageviews API (CC0)
it.wikipedia,Italian,hi.wikipedia,Hindi,99,43,0,0.0,Wikimedia Analytics pageviews API (CC0)
pl.wikipedia,Polish,fa.wikipedia,Persian,96,39,0,0.0,Wikimedia Analytics pageviews API (CC0)
fa.wikipedia,Persian,hi.wikipedia,Hindi,39,43,0,0.0,Wikimedia Analytics pageviews API (CC0)
