accession,serotype,year,year_basis,collection_date,first_public,host,strain,isolate,base_count,study_accession,source
KF744399,DENV-2,1998,collected,1998,2015-01-18,Homo sapiens,,98-CI-15,10176,,ENA portal API
MF094189,DENV-3,1998,collected,1998,2024-01-23,Homo sapiens,,11D-48,1650,,ENA portal API
MF094197,DENV-3,1998,collected,1998,2024-01-23,Homo sapiens,,SLMC-390,1598,,ENA portal API
MF094199,DENV-3,1998,collected,1998,2024-01-23,Homo sapiens,,SLMC-468,1631,,ENA portal API
MF094242,DENV-1,1998,collected,1998,2024-01-23,Homo sapiens,,12D-006,1608,,ENA portal API
AF177541,DENV-2,1999,published,,1999-09-07,,Mindanao/TP 1995,,454,,ENA portal API
AF177542,DENV-4,1999,published,,1999-09-07,,Mindanao/BDJ 1995,,454,,ENA portal API
AF177926,DENV-2,1999,published,,1999-09-07,,Mindanao/TP 1995,,240,,ENA portal API
GU377286,DENV-1,1999,collected,1999,2010-02-18,Homo sapiens,,99St-12A,289,,ENA portal API
MF094192,DENV-3,1999,collected,1999,2024-01-23,Homo sapiens,,99ST-067,1631,,ENA portal API
MF094252,DENV-1,1999,collected,1999,2024-01-23,Homo sapiens,,99St-044,1499,,ENA portal API
MF094253,DENV-1,1999,collected,1999,2024-01-23,Homo sapiens,,99St-12A,1608,,ENA portal API
AF295694,DENV-2,2000,published,,2000-12-07,,,BRL 008,1485,,ENA portal API
AF295695,DENV-2,2000,published,,2000-12-07,,,BRL 020,1485,,ENA portal API
AF295696,DENV-2,2000,published,,2000-12-07,,,CI-15,1485,,ENA portal API
AF295697,DENV-2,2000,published,,2000-12-07,,,DOH 005,1485,,ENA portal API
AF295698,DENV-2,2000,published,,2000-12-07,,,DOH 034,1485,,ENA portal API
AF295699,DENV-2,2000,published,,2000-12-07,,,DOH 077,1485,,ENA portal API
AF295700,DENV-2,2000,published,,2000-12-07,,,DOH 078,1485,,ENA portal API
AF297004,DENV-2,2000,published,,2000-10-25,,,DOH 120,1485,,ENA portal API
AF297005,DENV-2,2000,published,,2000-10-25,,,DOH 321,1485,,ENA portal API
AF297006,DENV-2,2000,published,,2000-10-25,,,DOH 349,1485,,ENA portal API
AF297007,DENV-2,2000,published,,2000-10-25,,,SLMC 14,1485,,ENA portal API
AF297008,DENV-2,2000,published,,2000-10-25,,,SLMC 179,1485,,ENA portal API
AF297009,DENV-2,2000,published,,2000-10-25,,,SLMC 451,1485,,ENA portal API
GU377287,DENV-2,2000,collected,2000,2010-02-18,Homo sapiens,,00St-22A,292,,ENA portal API
KF744400,DENV-2,2000,collected,2000,2015-01-18,Homo sapiens,,00-St-002,10176,,ENA portal API
KF744401,DENV-2,2000,collected,2000,2015-01-18,Homo sapiens,,00-St-022,10176,,ENA portal API
KF744402,DENV-2,2000,collected,2000,2015-01-18,Homo sapiens,,00-St-68B,10176,,ENA portal API
MF094203,DENV-1,2000,collected,2000,2024-01-23,Homo sapiens,,00St-019,1599,,ENA portal API
MF094204,DENV-1,2000,collected,2000,2024-01-23,Homo sapiens,,00St-026,1571,,ENA portal API
MF094205,DENV-1,2000,collected,2000,2024-01-23,Homo sapiens,,00St-029,1606,,ENA portal API
MF094206,DENV-1,2000,collected,2000,2024-01-23,Homo sapiens,,00St-045,1561,,ENA portal API
MF094254,DENV-2,2000,collected,2000,2024-01-23,Homo sapiens,,00St-030,2217,,ENA portal API
AJ320521,DENV-3,2001,published,,2001-08-08,,H87,,714,,ENA portal API
DQ518632,DENV-2,2001,collected,2001,2006-11-01,,Phil0109a/Tw,,1485,,ENA portal API
KF744397,DENV-2,2001,collected,2001,2015-01-18,Homo sapiens,,01-St-206,10176,,ENA portal API
MF094137,DENV-3,2001,collected,2001,2024-01-23,Homo sapiens,,01Sa-008,1657,,ENA portal API
MF094138,DENV-3,2001,collected,2001,2024-01-23,Homo sapiens,,01St-226,1722,,ENA portal API
MF094207,DENV-1,2001,collected,2001,2024-01-23,Homo sapiens,,01Sa-028,1580,,ENA portal API
MF094208,DENV-1,2001,collected,2001,2024-01-23,Homo sapiens,,01Sa-045,1566,,ENA portal API
MF094209,DENV-1,2001,collected,2001,2024-01-23,Homo sapiens,,01Sa-090,1593,,ENA portal API
MF094210,DENV-1,2001,collected,2001,2024-01-23,Homo sapiens,,01Sa-094,1581,,ENA portal API
MF094211,DENV-1,2001,collected,2001,2024-01-23,Homo sapiens,,01Sa-169,1545,,ENA portal API
MF094212,DENV-1,2001,collected,2001,2024-01-23,Homo sapiens,,01St-268,1558,,ENA portal API
MF094255,DENV-2,2001,collected,2001,2024-01-23,Homo sapiens,,01Sa-033,2230,,ENA portal API
MF094256,DENV-2,2001,collected,2001,2024-01-23,Homo sapiens,,01Sa-054,2215,,ENA portal API
MF094257,DENV-2,2001,collected,2001,2024-01-23,Homo sapiens,,01Sa-062,2234,,ENA portal API
MF094258,DENV-2,2001,collected,2001,2024-01-23,Homo sapiens,,01Sa-108,2230,,ENA portal API
MF094259,DENV-2,2001,collected,2001,2024-01-23,Homo sapiens,,01St-312,2214,,ENA portal API
AF425627,DENV-1,2002,published,,2002-10-04,human,PRS 228682,,1485,,ENA portal API
MF094213,DENV-1,2002,collected,2002,2024-01-23,Homo sapiens,,02Sa-037,1604,,ENA portal API
MF094214,DENV-1,2002,collected,2002,2024-01-23,Homo sapiens,,02Sa-079,1549,,ENA portal API
MF094215,DENV-1,2002,collected,2002,2024-01-23,Homo sapiens,,02Sa-104,1581,,ENA portal API
MF094216,DENV-1,2002,collected,2002,2024-01-23,Homo sapiens,,02Sa-109,1606,,ENA portal API
MF094217,DENV-1,2002,collected,2002,2024-01-23,Homo sapiens,,02Sa-115,1579,,ENA portal API
MF094218,DENV-1,2002,collected,2002,2024-01-23,Homo sapiens,,02Sa-119,1560,,ENA portal API
MF094219,DENV-1,2002,collected,2002,2024-01-23,Homo sapiens,,02Sa-136,1592,,ENA portal API
MF094220,DENV-1,2002,collected,2002,2024-01-23,Homo sapiens,,02Sa-148,1561,,ENA portal API
MF094221,DENV-1,2002,collected,2002,2024-01-23,Homo sapiens,,02Sa-150,1522,,ENA portal API
MF094260,DENV-2,2002,collected,2002,2024-01-23,Homo sapiens,,02Sa-009,2198,,ENA portal API
MF094261,DENV-2,2002,collected,2002,2024-01-23,Homo sapiens,,02Sa-121,2216,,ENA portal API
MF094262,DENV-2,2002,collected,2002,2024-01-23,Homo sapiens,,02Sa-142,2212,,ENA portal API
AF426126,DENV-1,2003,published,,2003-07-02,Homo sapiens,,PRS 228682,1044,,ENA portal API
AY422777,DENV-1,2003,published,,2003-10-23,,,01St219,1485,,ENA portal API
AY422778,DENV-1,2003,published,,2003-10-23,,,02RBD008,1485,,ENA portal API
AY422779,DENV-1,2003,published,,2003-10-23,,,02SA029,1485,,ENA portal API
AY422780,DENV-1,2003,published,,2003-10-23,,,02SA047,1485,,ENA portal API
AY422781,DENV-1,2003,published,,2003-10-23,,,02SA071,1485,,ENA portal API
AY422782,DENV-1,2003,published,,2003-10-23,,,02SA073,1485,,ENA portal API
AY422783,DENV-1,2003,published,,2003-10-23,,,02SA079,1485,,ENA portal API
AY422784,DENV-1,2003,published,,2003-10-23,,,95SLMC28,1485,,ENA portal API
AY422785,DENV-1,2003,published,,2003-10-23,,,99SA236,1485,,ENA portal API
AY422786,DENV-1,2003,published,,2003-10-23,,,99SA660,1485,,ENA portal API
EU448406,DENV-1,2003,collected,2003,2009-01-01,,D1/Philippines/0301aTw,,1485,,ENA portal API
EU448418,DENV-2,2003,collected,2003,2009-01-01,,D2/Philippines/0308aTw,,1485,,ENA portal API
EU448449,DENV-4,2003,collected,2003,2009-01-01,,D4/Philippines/0310aTw,,1485,,ENA portal API
FJ502945,DENV-3,2003,collected,2003,2010-12-31,Homo sapiens,SK1213VI04,,220,,ENA portal API
JN568263,DENV-2,2003,collected,2003,2012-11-19,Homo sapiens,,Philippines 2003,1485,,ENA portal API
MF094139,DENV-3,2003,collected,2003,2024-01-23,Homo sapiens,,03Sa-036,1630,,ENA portal API
MF094222,DENV-1,2003,collected,2003,2024-01-23,Homo sapiens,,03Sa-003,1581,,ENA portal API
MF094223,DENV-1,2003,collected,2003,2024-01-23,Homo sapiens,,03Sa-005,1571,,ENA portal API
MF094224,DENV-1,2003,collected,2003,2024-01-23,Homo sapiens,,03Sa-008,1619,,ENA portal API
MF094225,DENV-1,2003,collected,2003,2024-01-23,Homo sapiens,,03Sa-009,1628,,ENA portal API
MF094226,DENV-1,2003,collected,2003,2024-01-23,Homo sapiens,,03Sa-010,1629,,ENA portal API
MF094227,DENV-1,2003,collected,2003,2024-01-23,Homo sapiens,,03Sa-013,1554,,ENA portal API
MF094228,DENV-1,2003,collected,2003,2024-01-23,Homo sapiens,,03Sa-017,1562,,ENA portal API
MF094229,DENV-1,2003,collected,2003,2024-01-23,Homo sapiens,,03Sa-041,1575,,ENA portal API
MF094230,DENV-1,2003,collected,2003,2024-01-23,Homo sapiens,,03Sa-057,1605,,ENA portal API
MF094231,DENV-1,2003,collected,2003,2024-01-23,Homo sapiens,,03Sa-075,1605,,ENA portal API
MF094232,DENV-1,2003,collected,2003,2024-01-23,Homo sapiens,,03Sa-089,1608,,ENA portal API
MF094233,DENV-1,2003,collected,2003,2024-01-23,Homo sapiens,,03Sa-093,1601,,ENA portal API
MF094234,DENV-1,2003,collected,2003,2024-01-23,Homo sapiens,,03Sa-095,1607,,ENA portal API
MF094235,DENV-1,2003,collected,2003,2024-01-23,Homo sapiens,,03Sa-099,1606,,ENA portal API
AB194884,DENV-2,2004,published,,2004-11-16,Homo sapiens,D2/Hu/Philippines/NIID25/2004,,1485,,ENA portal API
AY512567,DENV-2,2004,published,,2004-01-26,,,9D-18/1998,1485,,ENA portal API
AY512568,DENV-2,2004,published,,2004-01-26,,,PCMC 60/1998,1485,,ENA portal API
AY512569,DENV-2,2004,published,,2004-01-26,,,SLMC 148/1995,1485,,ENA portal API
EU448458,DENV-4,2004,collected,2004,2009-01-01,,D4/Philippines/0409aTw,,1485,,ENA portal API
GQ868602,DENV-1,2004,collected,2004,2009-10-02,Homo sapiens,,DENV-1/PH/BID-V2940/2004,10677,PRJNA31235,ENA portal API
JF804020,DENV-1,2004,collected,2004,2011-09-04,Homo sapiens,,PH/DB007/2004,1480,,ENA portal API
JN575591,DENV-4,2004,collected,2004,2012-11-19,Homo sapiens,,Philippines 2004,1485,,ENA portal API
MF094140,DENV-3,2004,collected,2004,2024-01-23,Homo sapiens,,04CMC-004,1657,,ENA portal API
MF094141,DENV-3,2004,collected,2004,2024-01-23,Homo sapiens,,04SA-041,1701,,ENA portal API
MF094236,DENV-1,2004,collected,2004,2024-01-23,Homo sapiens,,04RBD-002,1597,,ENA portal API
AY706007,DENV-2,2005,published,,2005-09-01,,Phil03,,1694,,ENA portal API
AY786366,DENV-2,2005,published,,2005-10-19,,,SLMC125/1995,1983,,ENA portal API
AY786367,DENV-2,2005,published,,2005-10-19,,,DOH90/1995,1983,,ENA portal API
AY786368,DENV-2,2005,published,,2005-10-19,,,DOH97/1995,1983,,ENA portal API
AY786369,DENV-2,2005,published,,2005-10-19,,,BRL3/1996,1983,,ENA portal API
AY786370,DENV-2,2005,published,,2005-10-19,,,CSMC7/1996,1983,,ENA portal API
AY786371,DENV-2,2005,published,,2005-10-19,,,CI27/1998,1983,,ENA portal API
AY786372,DENV-2,2005,published,,2005-10-19,,,PCMC60/1998,1983,,ENA portal API
AY786373,DENV-2,2005,published,,2005-10-19,,,99Sa695/1999,1983,,ENA portal API
AY786374,DENV-2,2005,published,,2005-10-19,,,00St22/2000,1983,,ENA portal API
AY786375,DENV-2,2005,published,,2005-10-19,,,00St23/2000,1983,,ENA portal API
AY786376,DENV-2,2005,published,,2005-10-19,,,01RBD1/2001,1983,,ENA portal API
AY786377,DENV-2,2005,published,,2005-10-19,,,01St321/2001,1983,,ENA portal API
AY786378,DENV-2,2005,published,,2005-10-19,,,01St322/2001,1983,,ENA portal API
AY786379,DENV-2,2005,published,,2005-10-19,,,01St323/2001,1983,,ENA portal API
AY786380,DENV-2,2005,published,,2005-10-19,,,01St324/2001,1983,,ENA portal API
AY786381,DENV-2,2005,published,,2005-10-19,,,01St325/2001,1983,,ENA portal API
AY786382,DENV-2,2005,published,,2005-10-19,,,01St338/2001,1983,,ENA portal API
AY786383,DENV-2,2005,published,,2005-10-19,,,01St339/2001,1983,,ENA portal API
AY786384,DENV-2,2005,published,,2005-10-19,,,01St351/2001,1983,,ENA portal API
AY786385,DENV-2,2005,published,,2005-10-19,,,01St352/2001,1983,,ENA portal API
AY786386,DENV-2,2005,published,,2005-10-19,,,01St353/2001,1983,,ENA portal API
AY786387,DENV-2,2005,published,,2005-10-19,,,01St354/2001,1983,,ENA portal API
AY786388,DENV-2,2005,published,,2005-10-19,,,01St378/2001,1983,,ENA portal API
AY786389,DENV-2,2005,published,,2005-10-19,,,01St384/2001,1983,,ENA portal API
AY786390,DENV-2,2005,published,,2005-10-19,,,01St385/2001,1983,,ENA portal API
AY786391,DENV-2,2005,published,,2005-10-19,,,01St388/2001,1983,,ENA portal API
AY786392,DENV-2,2005,published,,2005-10-19,,,01St391/2001,1983,,ENA portal API
AY786393,DENV-2,2005,published,,2005-10-19,,,01St418/2001,1983,,ENA portal API
AY786394,DENV-2,2005,published,,2005-10-19,,,01St428/2001,1983,,ENA portal API
AY786395,DENV-2,2005,published,,2005-10-19,,,02Sa32/2002,1983,,ENA portal API
AY786396,DENV-2,2005,published,,2005-10-19,,,SLMC70/1995/human,1983,,ENA portal API
AY786397,DENV-2,2005,published,,2005-10-19,,,00U3/2000/human,1983,,ENA portal API
AY786398,DENV-2,2005,published,,2005-10-19,,,01St193/2001,1983,,ENA portal API
AY786399,DENV-2,2005,published,,2005-10-19,,,9D18/1998,1983,,ENA portal API
AY786400,DENV-2,2005,published,,2005-10-19,,,SLMC362/1998,1983,,ENA portal API
AY786401,DENV-2,2005,published,,2005-10-19,,,99Sa628/1999,1983,,ENA portal API
AY786402,DENV-2,2005,published,,2005-10-19,,,99Sa310/1999,1983,,ENA portal API
AY786403,DENV-2,2005,published,,2005-10-19,,,00St68/2000,1983,,ENA portal API
AY786404,DENV-2,2005,published,,2005-10-19,,,00U18/2000,1983,,ENA portal API
AY786405,DENV-2,2005,published,,2005-10-19,,,NCH35/2000,1983,,ENA portal API
AY786406,DENV-2,2005,published,,2005-10-19,,,NCH57/2000,1983,,ENA portal API
DQ518631,DENV-2,2005,collected,2005,2006-11-01,,Phil0506a/Tw,,1485,,ENA portal API
DQ518633,DENV-2,2005,collected,2005,2006-11-01,,Phil0509a/Tw,,1485,,ENA portal API
DQ518673,DENV-3,2005,collected,2005,2006-11-01,,Phil0508a/Tw,,1479,,ENA portal API
EU448448,DENV-4,2005,collected,2005,2009-01-01,,D4/Philippines/0509aTw,,1485,,ENA portal API
FJ502903,DENV-2,2005,collected,2005,2010-12-31,Homo sapiens,SF735VI06,,219,,ENA portal API
FJ502944,DENV-3,2005,collected,2005,2010-12-31,Homo sapiens,WI681VI05,,220,,ENA portal API
FJ502971,DENV-3,2005,collected,2005,2010-12-31,Homo sapiens,LV703VI05,,220,,ENA portal API
JN415516,DENV-1,2005,collected,2005,2012-11-19,Homo sapiens,,Philippines 2005,1485,,ENA portal API
KF744398,DENV-2,2005,collected,2005,2015-01-18,Homo sapiens,,05-Sa-018,10176,,ENA portal API
KF744408,DENV-2,2005,collected,2005,2015-01-18,Homo sapiens,,05-RBD-204,10176,,ENA portal API
KT749991,DENV-4,2005,collected,2005,2017-11-20,Homo sapiens,,Philippines 2005,1485,,ENA portal API
MF094142,DENV-3,2005,collected,2005,2024-01-23,Homo sapiens,,05DEN-020,1726,,ENA portal API
MF094143,DENV-3,2005,collected,2005,2024-01-23,Homo sapiens,,05NCH-015,1636,,ENA portal API
MF094144,DENV-3,2005,collected,2005,2024-01-23,Homo sapiens,,05RBD-019,1718,,ENA portal API
MF094145,DENV-3,2005,collected,2005,2024-01-23,Homo sapiens,,05RBD-035,1631,,ENA portal API
MF094146,DENV-3,2005,collected,2005,2024-01-23,Homo sapiens,,05RBD-104,1657,,ENA portal API
MF094147,DENV-3,2005,collected,2005,2024-01-23,Homo sapiens,,05RBD-106,1655,,ENA portal API
MF094148,DENV-3,2005,collected,2005,2024-01-23,Homo sapiens,,05RBD-159,1655,,ENA portal API
MF094149,DENV-3,2005,collected,2005,2024-01-23,Homo sapiens,,05RBD-210,1669,,ENA portal API
MF094150,DENV-3,2005,collected,2005,2024-01-23,Homo sapiens,,05RBD-257,1626,,ENA portal API
MF094151,DENV-3,2005,collected,2005,2024-01-23,Homo sapiens,,05RBD-266,1718,,ENA portal API
MF094237,DENV-1,2005,collected,2005,2024-01-23,Homo sapiens,,05RBD-052,1552,,ENA portal API
MF094238,DENV-1,2005,collected,2005,2024-01-23,Homo sapiens,,05RBD-150,1590,,ENA portal API
MF094266,DENV-2,2005,collected,2005,2024-01-23,Homo sapiens,,IVIG05-038,2176,,ENA portal API
DQ401695,DENV-3,2006,published,,2006-03-16,,,mutant PhMH-J1-97,10707,,ENA portal API
EU448433,DENV-3,2006,collected,2006,2009-01-01,,D3/Philippines/0608aTw,,1479,,ENA portal API
MF094152,DENV-3,2006,collected,2006,2024-01-23,Homo sapiens,,06DEN-015,1707,,ENA portal API
MF094153,DENV-3,2006,collected,2006,2024-01-23,Homo sapiens,,06DEN-022,1631,,ENA portal API
MF094154,DENV-3,2006,collected,2006,2024-01-23,Homo sapiens,,06RBD-227,1607,,ENA portal API
MF094155,DENV-3,2006,collected,2006,2024-01-23,Homo sapiens,,06RBD-241,1717,,ENA portal API
MF094156,DENV-3,2006,collected,2006,2024-01-23,Homo sapiens,,06RBD-345,1643,,ENA portal API
MF094157,DENV-3,2006,collected,2006,2024-01-23,Homo sapiens,,06RBD-347,1631,,ENA portal API
MF094158,DENV-3,2006,collected,2006,2024-01-23,Homo sapiens,,06RBD-349,1698,,ENA portal API
MF094159,DENV-3,2006,collected,2006,2024-01-23,Homo sapiens,,06RBD-352,1698,,ENA portal API
MF094160,DENV-3,2006,collected,2006,2024-01-23,Homo sapiens,,06RBD-354,1715,,ENA portal API
MF094161,DENV-3,2006,collected,2006,2024-01-23,Homo sapiens,,06RBD-358,1715,,ENA portal API
MF094162,DENV-3,2006,collected,2006,2024-01-23,Homo sapiens,,06RBD-364,1628,,ENA portal API
MF094163,DENV-3,2006,collected,2006,2024-01-23,Homo sapiens,,06RBD-411,1604,,ENA portal API
MF094164,DENV-3,2006,collected,2006,2024-01-23,Homo sapiens,,06RBD-414,1630,,ENA portal API
MF094165,DENV-3,2006,collected,2006,2024-01-23,Homo sapiens,,06RBD-498,1657,,ENA portal API
MF094166,DENV-3,2006,collected,2006,2024-01-23,Homo sapiens,,06RBD-499,1602,,ENA portal API
MF094167,DENV-3,2006,collected,2006,2024-01-23,Homo sapiens,,06RBD-504,1657,,ENA portal API
MF094168,DENV-3,2006,collected,2006,2024-01-23,Homo sapiens,,06Sa-006,1656,,ENA portal API
MF094169,DENV-3,2006,collected,2006,2024-01-23,Homo sapiens,,06Sa-017,1609,,ENA portal API
MF094170,DENV-3,2006,collected,2006,2024-01-23,Homo sapiens,,06Sa-031,1670,,ENA portal API
MF094171,DENV-3,2006,collected,2006,2024-01-23,Homo sapiens,,06Sa-033,1664,,ENA portal API
MF094172,DENV-3,2006,collected,2006,2024-01-23,Homo sapiens,,06Sa-034,1662,,ENA portal API
MF094173,DENV-3,2006,collected,2006,2024-01-23,Homo sapiens,,06Sa-036,1658,,ENA portal API
MF094239,DENV-1,2006,collected,2006,2024-01-23,Homo sapiens,,06NCH-032,1583,,ENA portal API
MF094263,DENV-2,2006,collected,2006,2024-01-23,Homo sapiens,,06Sa-007,2159,,ENA portal API
MF094264,DENV-2,2006,collected,2006,2024-01-23,Homo sapiens,,06Sa-014,2243,,ENA portal API
EU448405,DENV-1,2007,collected,2007,2009-01-01,,D1/Philippines/0706aTw,,1485,,ENA portal API
EU448426,DENV-2,2007,collected,2007,2009-01-01,,D2/Philippines/0710bTw,,1485,,ENA portal API
EU448432,DENV-3,2007,collected,2007,2009-01-01,,D3/Philippines/0707aTw,,1479,,ENA portal API
EU073982,DENV-3,2008,published,,2008-02-22,,H87 prototype,,232,,ENA portal API
FJ439174,DENV-4,2008,published,28-Aug-1956,2008-12-16,Homo sapiens,H241-P,,2322,,ENA portal API
HM641025,DENV-3,2008,collected,2008,2011-07-21,Homo sapiens,,8-2,431,,ENA portal API
HM641026,DENV-3,2008,collected,2008,2011-07-21,Homo sapiens,,8-14,414,,ENA portal API
HM641027,DENV-3,2008,collected,2008,2011-07-21,Homo sapiens,,8-65,427,,ENA portal API
JF967955,DENV-2,2008,collected,2008,2012-06-01,Homo sapiens,D2/Philippines/0803aTw,,1485,,ENA portal API
JF967971,DENV-2,2008,collected,2008,2012-06-01,Homo sapiens,D2/Philippines/0812aTw,,1485,,ENA portal API
JF968053,DENV-3,2008,collected,2008,2012-06-01,Homo sapiens,D3/Philippines/0801aTw,,1479,,ENA portal API
JF968054,DENV-3,2008,collected,2008,2012-06-01,Homo sapiens,D3/Philippines/0802aTw,,1479,,ENA portal API
JF968055,DENV-3,2008,collected,2008,2012-06-01,Homo sapiens,D3/Philippines/0805aTw,,1479,,ENA portal API
JF968059,DENV-3,2008,collected,2008,2012-06-01,Homo sapiens,D3/Philippines/0808aTw,,1479,,ENA portal API
JF968060,DENV-3,2008,collected,2008,2012-06-01,Homo sapiens,D3/Philippines/0808bTw,,1479,,ENA portal API
JF968061,DENV-3,2008,collected,2008,2012-06-01,Homo sapiens,D3/Philippines/0808cTw,,1479,,ENA portal API
JF968062,DENV-3,2008,collected,2008,2012-06-01,Homo sapiens,D3/Philippines/0809aTw,,1479,,ENA portal API
JF968067,DENV-3,2008,collected,2008,2012-06-01,Homo sapiens,D3/Philippines/0810aTw,,1479,,ENA portal API
JF968069,DENV-3,2008,collected,2008,2012-06-01,Homo sapiens,D3/Philippines/0812aTw,,1479,,ENA portal API
KJ946237,DENV-1,2008,collected,2008,2016-03-18,Homo sapiens,D1/Philippines/SP0126-08,,1485,,ENA portal API
KJ946238,DENV-1,2008,collected,2008,2016-03-18,Homo sapiens,D1/Philippines/SP0164-08,,1485,,ENA portal API
KJ946239,DENV-2,2008,collected,2008,2016-03-18,Homo sapiens,D2/Philippines/SP0261-08,,1485,,ENA portal API
KJ946240,DENV-3,2008,collected,2008,2016-03-18,Homo sapiens,D3/Philippines/SP0049-08,,1479,,ENA portal API
KJ946241,DENV-3,2008,collected,2008,2016-03-18,Homo sapiens,D3/Philippines/SP0106-08,,1479,,ENA portal API
KJ946242,DENV-3,2008,collected,2008,2016-03-18,Homo sapiens,D3/Philippines/SP0165-08,,1479,,ENA portal API
KJ946243,DENV-3,2008,collected,2008,2016-03-18,Homo sapiens,D3/Philippines/SP0197-08,,1479,,ENA portal API
KJ946244,DENV-4,2008,collected,2008,2016-03-18,Homo sapiens,D4/Philippines/SP0171-08,,1485,,ENA portal API
KP973459,DENV-2,2008,collected,2008,2015-09-26,,,PH100062D2/2008,323,,ENA portal API
KP973488,DENV-3,2008,collected,2008,2015-09-26,,,PH100066D3/2008,276,,ENA portal API
KP973489,DENV-3,2008,collected,2008,2015-09-26,,,PH100073D3/2008,276,,ENA portal API
KP973490,DENV-3,2008,collected,2008,2015-09-26,,,PH100077D3/2008,276,,ENA portal API
KU509275,DENV-2,2008,collected,2008,2017-01-27,Homo sapiens,DENV2-3849,,10455,,ENA portal API
KU509276,DENV-2,2008,collected,2008,2017-01-27,Homo sapiens,DENV2-3850,,10395,,ENA portal API
KU509279,DENV-3,2008,collected,2008,2017-01-27,Homo sapiens,DENV3-632,,10312,,ENA portal API
MF094174,DENV-3,2008,collected,2008,2024-01-23,Homo sapiens,,08UP-005,1693,,ENA portal API
MF094175,DENV-3,2008,collected,2008,2024-01-23,Homo sapiens,,08UP-006,1677,,ENA portal API
MF094176,DENV-3,2008,collected,2008,2024-01-23,Homo sapiens,,08UP-008,1682,,ENA portal API
MF094177,DENV-3,2008,collected,2008,2024-01-23,Homo sapiens,,08UP-009A,1693,,ENA portal API
MF094178,DENV-3,2008,collected,2008,2024-01-23,Homo sapiens,,08UP-010,1629,,ENA portal API
MF094179,DENV-3,2008,collected,2008,2024-01-23,Homo sapiens,,08UP-019,1634,,ENA portal API
MF094180,DENV-3,2008,collected,2008,2024-01-23,Homo sapiens,,08UP-028,1630,,ENA portal API
MF094181,DENV-3,2008,collected,2008,2024-01-23,Homo sapiens,,08UP-032,1659,,ENA portal API
MF094182,DENV-3,2008,collected,2008,2024-01-23,Homo sapiens,,08UP-036,1640,,ENA portal API
MF094183,DENV-3,2008,collected,2008,2024-01-23,Homo sapiens,,08UP-041,1712,,ENA portal API
MF094184,DENV-3,2008,collected,2008,2024-01-23,Homo sapiens,,08UP-059,1669,,ENA portal API
MF094185,DENV-3,2008,collected,2008,2024-01-23,Homo sapiens,,08UP-085,1694,,ENA portal API
GQ868594,DENV-4,2009,published,1956,2009-10-02,Homo sapiens,,DENV-4/PH/BID-V3361/1956,10607,PRJNA31235,ENA portal API
HM641028,DENV-3,2009,collected,2009,2011-07-21,Homo sapiens,,9-2,433,,ENA portal API
HM641029,DENV-3,2009,collected,2009,2011-07-21,Homo sapiens,,9-14,381,,ENA portal API
HM641030,DENV-3,2009,collected,2009,2011-07-21,Homo sapiens,,9-32,412,,ENA portal API
