commodity,category,first_year,last_year,years,first_php_per_kg,last_php_per_kg,change_php_pct,change_usd_pct,cagr_php_pct,markets,observations,source
Onions (red),vegetables and fruits,2008,2025,18,83.81,163.33,94.9,53.9,4.0,77,6109,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (chicken, whole)","meat, fish and eggs",2008,2025,18,117.77,215.0,82.6,38.9,3.6,77,6195,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Fish (fresh),"meat, fish and eggs",2008,2019,12,103.22,174.09,68.7,47.9,4.87,17,1468,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (pork, hock)","meat, fish and eggs",2020,2025,6,175.96,295.0,67.7,43.2,10.89,73,785,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Eggplants,vegetables and fruits,2020,2025,6,51.7,86.25,66.8,43.8,10.78,81,5291,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Meat (pork, with bones)","meat, fish and eggs",2020,2025,6,200.0,323.75,61.9,39.0,10.11,78,4916,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Squashes,vegetables and fruits,2020,2025,6,28.75,46.25,60.9,39.7,9.98,80,4438,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Beans (green, fresh)",vegetables and fruits,2020,2025,6,77.92,124.5,59.8,38.2,9.83,76,2704,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Calamansi,vegetables and fruits,2020,2025,6,52.81,83.75,58.6,36.4,9.66,77,3489,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Choko,vegetables and fruits,2020,2025,6,30.85,48.69,57.8,37.1,9.56,80,3862,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Beans (string),vegetables and fruits,2020,2025,6,55.93,88.0,57.3,35.1,9.49,77,3152,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Cabbage (chinese),vegetables and fruits,2020,2025,6,65.62,101.25,54.3,31.3,9.06,76,2431,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Pineapples,vegetables and fruits,2020,2025,6,48.92,72.17,47.5,23.8,8.09,65,1250,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Bitter melon,vegetables and fruits,2020,2025,6,71.5,105.0,46.9,26.2,7.99,78,5057,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Fish (roundscad),"meat, fish and eggs",2020,2025,6,154.31,222.86,44.4,24.0,7.63,76,4877,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Mangoes (piko),vegetables and fruits,2020,2025,6,92.06,132.5,43.9,25.3,7.55,24,358,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Fish (frigate tuna),"meat, fish and eggs",2020,2025,6,146.95,209.38,42.5,24.4,7.34,72,914,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Maize (yellow),cereals and tubers,2020,2025,6,23.0,32.76,42.4,22.6,7.33,17,841,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Meat (beef),"meat, fish and eggs",2020,2025,6,310.0,438.75,41.5,20.7,7.19,77,4380,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Beans (mung),pulses and nuts,2012,2025,14,76.65,108.25,41.2,3.6,2.69,78,4452,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
"Fish (mackerel, fresh)","meat, fish and eggs",2020,2025,6,178.33,251.67,41.1,19.7,7.13,61,925,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Fish (milkfish),"meat, fish and eggs",2020,2025,6,164.62,225.0,36.7,17.3,6.45,76,5070,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Bottle gourd,vegetables and fruits,2020,2025,6,32.36,43.88,35.6,15.2,6.28,78,2679,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Fish (redbelly yellowtail fusilier),"meat, fish and eggs",2020,2025,6,247.83,333.63,34.6,14.0,6.13,58,1724,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Bananas (lakatan),vegetables and fruits,2020,2025,6,70.0,93.75,33.9,13.2,6.02,73,4318,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Coconut,vegetables and fruits,2020,2025,6,22.12,29.17,31.9,13.3,5.69,79,4941,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Groundnuts (unshelled),pulses and nuts,2012,2025,14,87.23,114.17,30.9,-6.2,2.09,34,1121,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Crab,"meat, fish and eggs",2020,2025,6,272.18,355.0,30.4,11.6,5.46,65,3612,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Mangoes (carabao),vegetables and fruits,2020,2025,6,120.0,156.25,30.2,11.8,5.42,69,3438,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Fish (tilapia),"meat, fish and eggs",2020,2025,6,134.59,173.75,29.1,10.3,5.24,70,4618,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Fish (slipmouth),"meat, fish and eggs",2020,2025,6,155.5,198.75,27.8,10.3,5.03,56,1708,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Anchovies,"meat, fish and eggs",2020,2025,6,118.0,150.0,27.1,9.6,4.92,70,4334,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Mandarins,vegetables and fruits,2020,2025,6,50.57,63.33,25.2,7.2,4.6,30,956,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Sweet Potato leaves,vegetables and fruits,2020,2025,6,39.32,48.75,24.0,7.6,4.39,77,1134,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Groundnuts (shelled),pulses and nuts,2020,2025,6,95.77,118.33,23.6,5.4,4.32,69,3176,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Fish (threadfin bream),"meat, fish and eggs",2020,2025,6,248.57,302.5,21.7,4.6,4.01,68,1439,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Semolina (white),cereals and tubers,2020,2025,6,30.0,35.64,18.8,3.3,3.51,33,919,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Water spinach,vegetables and fruits,2020,2025,6,37.09,44.0,18.6,1.3,3.48,77,1125,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Garlic,vegetables and fruits,2008,2025,18,142.81,167.75,17.5,-7.3,0.95,53,3458,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Shrimp (endeavor),"meat, fish and eggs",2020,2025,6,372.98,436.67,17.1,0.8,3.2,66,1327,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Semolina (yellow),cereals and tubers,2020,2025,6,28.59,33.33,16.6,0.0,3.12,50,968,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Bananas (latundan),vegetables and fruits,2020,2025,6,46.46,53.75,15.7,-2.1,2.96,77,3614,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Rice (well milled),cereals and tubers,2020,2025,6,41.99,48.5,15.5,-2.3,2.92,82,5361,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Bananas (saba),vegetables and fruits,2020,2025,6,35.54,40.0,12.5,-5.5,2.39,80,2033,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Rice (special),cereals and tubers,2020,2025,6,50.71,56.16,10.7,-4.9,2.06,81,5049,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Ginger,vegetables and fruits,2020,2025,6,155.46,166.88,7.3,-8.1,1.43,74,3748,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Maize (white),cereals and tubers,2020,2022,3,28.0,29.75,6.3,1.8,3.08,7,83,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Taro,cereals and tubers,2020,2025,6,55.08,55.63,1.0,-14.3,0.2,72,1085,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Shrimp (tiger),"meat, fish and eggs",2020,2025,6,600.0,562.0,-6.3,-20.9,-1.3,60,3691,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
Papaya,vegetables and fruits,2020,2025,6,45.0,39.38,-12.5,-26.1,-2.63,69,720,"WFP Global Food Prices via HDX, wfp_food_prices_phl.csv (retail, per kilogramme, priceflag=actual)"
